slide_id,Y,Y_hat,p_0,p_1
GSE158937_16030X2_Tumor_0,1.0,1.0,0.0004359907761681825,0.999563992023468
GSE158937_16030X2_Tumor_1,1.0,1.0,3.9576265407959e-05,0.9999604225158691
GSE158937_16030X2_Tumor_2,1.0,1.0,0.00022615840134676546,0.9997738003730774
GSE158937_16030X2_Tumor_3,1.0,1.0,0.00026835923199541867,0.9997316002845764
GSE158937_16030X2_Tumor_4,1.0,1.0,0.001800823025405407,0.9981991648674011
GSE158937_16030X2_Tumor_5,1.0,1.0,0.0005407177377492189,0.9994593262672424
GSE158937_16030X2_Tumor_6,1.0,1.0,0.0005836616619490087,0.9994163513183594
GSE158937_16030X2_Tumor_7,1.0,1.0,0.0001463081716792658,0.9998536109924316
GSE158937_16030X2_Tumor_8,1.0,1.0,0.0007527045090682805,0.9992473125457764
GSE158937_16030X2_Tumor_9,1.0,1.0,0.000463219330413267,0.9995367527008057
GSE158937_16030X2_Tumor_10,1.0,1.0,4.293180245440453e-05,0.9999570846557617
GSE158937_16030X2_Tumor_11,1.0,1.0,3.7132209399715066e-05,0.9999629259109497
GSE158937_16030X2_Tumor_12,1.0,1.0,4.144081685808487e-05,0.9999585151672363
GSE158937_16030X2_Tumor_13,1.0,1.0,0.0004715480317827314,0.9995285272598267
GSE158937_16030X2_Tumor_14,1.0,1.0,0.00010937833576463163,0.9998905658721924
GSE158937_16030X2_Tumor_15,1.0,1.0,0.00028542702784761786,0.9997145533561707
GSE158937_16030X2_Tumor_16,1.0,1.0,0.0006740090320818126,0.9993259906768799
GSE158937_16030X2_Tumor_17,1.0,1.0,0.00020117941312491894,0.9997988343238831
GSE158937_16030X2_Tumor_18,1.0,1.0,0.0001455328892916441,0.9998544454574585
GSE158937_16030X4_Tumor_0,1.0,1.0,3.0898511340637924e-06,0.9999969005584717
GSE158937_16030X4_Tumor_1,1.0,1.0,3.64653146789351e-06,0.9999963045120239
GSE158937_16030X4_Tumor_2,1.0,1.0,5.289274668029975e-06,0.9999947547912598
GSE158937_16030X4_Tumor_3,1.0,1.0,3.2897244182095164e-06,0.9999966621398926
GSE158937_16030X4_Tumor_4,1.0,1.0,7.579748853459023e-06,0.9999923706054688
GSE158937_16030X4_Tumor_5,1.0,1.0,7.158231255743885e-06,0.999992847442627
GSE158937_16030X4_Tumor_6,1.0,1.0,8.194439033104572e-06,0.999991774559021
GSE158937_16030X4_Tumor_7,1.0,1.0,4.9353793656337075e-06,0.9999951124191284
GSE158937_16030X4_Tumor_8,1.0,1.0,1.6770225556683727e-05,0.9999831914901733
GSE158937_16030X4_Tumor_9,1.0,1.0,3.7622592117259046e-06,0.9999961853027344
GSE158937_16030X4_Tumor_10,1.0,1.0,1.1078830539190676e-05,0.9999889135360718
GSE158937_16030X4_Tumor_11,1.0,1.0,5.133254308020696e-05,0.9999486207962036
GSE158937_16030X4_Tumor_12,1.0,1.0,5.7188599384971894e-06,0.9999942779541016
GSE158937_16030X4_Tumor_13,1.0,1.0,7.527544767071959e-06,0.9999924898147583
GSE158937_16030X4_Tumor_14,1.0,1.0,9.249357390217483e-06,0.999990701675415
GSE158937_16030X4_Tumor_15,1.0,1.0,7.17249986337265e-06,0.999992847442627
GSE158937_16030X4_Tumor_16,1.0,1.0,6.676957582385512e-06,0.9999933242797852
GSE158937_16030X4_Tumor_17,1.0,1.0,1.3119623872626107e-05,0.9999868869781494
GSE158937_16030X4_Tumor_18,1.0,1.0,2.6440782221470727e-06,0.9999973773956299
GSE158937_16030X3_Tumor_0,0.0,0.0,0.9871683120727539,0.012831702828407288
GSE158937_16030X3_Tumor_1,1.0,1.0,0.00731688505038619,0.9926831126213074
GSE158937_16030X3_Tumor_2,0.0,0.0,0.992597222328186,0.007402789779007435
GSE158937_16030X3_Tumor_3,0.0,0.0,0.8880237340927124,0.1119762659072876
rcc_GSE152938_GSM4630027_Patient_1_Tumor_0,0.0,0.0,0.9999922513961792,7.780845407978632e-06
rcc_GSE152938_GSM4630027_Patient_1_Tumor_1,0.0,0.0,0.9999978542327881,2.146036877093138e-06
rcc_GSE152938_GSM4630027_Patient_1_Tumor_2,0.0,0.0,0.999998927116394,1.0300599342372152e-06
rcc_GSE152938_GSM4630027_Patient_1_Tumor_3,0.0,0.0,0.9999881982803345,1.1751042620744556e-05
rcc_GSE152938_GSM4630027_Patient_1_Tumor_4,0.0,0.0,0.9998292922973633,0.00017069088062271476
rcc_GSE152938_GSM4630027_Patient_1_Tumor_5,0.0,0.0,0.999996542930603,3.3975904898397857e-06
rcc_GSE152938_GSM4630027_Patient_1_Tumor_6,0.0,0.0,0.9999946355819702,5.423765742307296e-06
rcc_GSE152938_GSM4630027_Patient_1_Tumor_7,0.0,0.0,0.9999978542327881,2.19496428144339e-06
rcc_GSE152938_GSM4630027_Patient_1_Tumor_8,0.0,0.0,0.9999954700469971,4.555079613055568e-06
rcc_GSE152938_GSM4630027_Patient_1_Tumor_9,0.0,0.0,0.999956488609314,4.356487261247821e-05
rcc_GSE152938_GSM4630027_Patient_1_Tumor_10,0.0,0.0,0.9999979734420776,1.971854999283096e-06
rcc_GSE152938_GSM4630027_Patient_1_Tumor_11,0.0,0.0,0.9999581575393677,4.1867318941513076e-05
